subject,session,experiment_phase,event,trial_index,sync_time,orient_time,trial_time,time_to_respond,log_num,log_time
SC000,0,STUDY2,ENCODING_SHORT,15,328641895.36707497,328641923.424795,328643913.173188,2851.0846815188415,0,328646.7745094765
SC000,0,STUDY2,ENCODING_SHORT,16,328649775.417593,328649816.941049,328651789.699424,2217.6031709532253,0,328654.03454421996
SC000,0,STUDY2,ENCODING_SHORT,17,328657034.990707,328657062.141519,328659055.067256,1234.6778215141967,0,328660.2968193405
SC000,0,STUDY2,ENCODING_SHORT,18,328663297.156569,328663323.977893,328665313.142502,2596.8488475191407,0,328667.9208267405
SC000,0,STUDY2,ENCODING_SHORT,19,328670925.876707,328670945.246754,328672937.672902,2502.5845664786175,0,328675.44783132046
SC000,0,STUDY2,ENCODING_SHORT,20,328678453.137953,328678473.392306,328680462.35032505,1795.2353404834867,0,328682.2686276465
SC000,0,STUDY2,ENCODING_SHORT,21,328685269.020226,328685300.21249104,328687288.443451,2530.9686699765734,0,328689.831181161
SC000,0,STUDY2,ENCODING_SHORT,22,328692831.951052,328692873.256043,328694850.94971097,1865.6321414746344,0,328696.7388881845
SC000,0,STUDY2,ENCODING_SHORT,23,328699743.161785,328699762.883596,328701754.178432,1828.2185174757615,0,328703.5911021135
SC000,0,STUDY2,ENCODING_SHORT,24,328706596.734208,328706616.014871,328708605.228628,2249.8809820390306,0,328710.865895853
SC000,0,STUDY2,ENCODING_SHORT,25,328713866.445909,328713908.288151,328715881.38697904,2097.426025487948,0,328718.0057141765
SC000,0,STUDY2,ENCODING_SHORT,26,328721006.032476,328721033.113339,328723021.173872,1948.8332155160606,0,328724.9819465545
SC000,0,STUDY2,ENCODING_SHORT,27,328727983.131644,328728026.318309,328730003.06777596,2014.0764890238643,0,328732.04039479804
SC000,0,STUDY2,ENCODING_SHORT,28,328735040.926955,328735071.25144804,328737059.912668,1272.2965924767777,0,328738.3435480405
SC000,0,STUDY2,ENCODING_SHORT,29,328741344.25133,328741384.626339,328743358.115595,1248.294286953751,0,328744.63292062597
SC000,0,STUDY2,ENCODING_SHORT,30,328747633.569792,328747673.264135,328749644.55887,1745.6284769577906,0,328751.418892612
